Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
VRDN,Viridian Therapeutics Inc.,16.0650,1774.02,United States and Canada,Biotechnology,70.92
IOVA,Iovance Biotherapeutics Inc.,3.9350,1756.99,United States and Canada,Biotechnology,285.61
RXRX,Recursion Pharmaceuticals Inc.,3.2950,1748.86,United States and Canada,Biotechnology,66.41
QURE,uniQure N.V.,27.4300,1729.94,United States and Canada,Biotechnology,18.09
ANAB,AnaptysBio Inc.,58.6300,1706.19,United States and Canada,Biotechnology,232.39
PGEN,Precigen Inc.,4.7710,1700.91,United States and Canada,Biotechnology,31.59
TYRA,Tyra Biosciences Inc.,28.4300,1690.74,United States and Canada,Biotechnology,
GENB,Generate Biomedicines Inc.,13.1680,1688.04,United States and Canada,Biotechnology,30.30
SRPT,Sarepta Therapeutics Inc.,15.9250,1681.30,United States and Canada,Biotechnology,2184.18
TSHA,Taysha Gene Therapies Inc.,5.8050,1668.13,United States and Canada,Biotechnology,7.47
ZYME,Zymeworks Inc.,22.4330,1638.13,United States and Canada,Biotechnology,81.26
SNDX,Syndax Pharmaceuticals Inc.,18.4480,1634.68,United States and Canada,Biotechnology,217.17
PVLA,Palvella Therapeutics Inc.,111.1280,1593.89,United States and Canada,Biotechnology,
SION,Sionna Therapeutics Inc.,34.6410,1564.05,United States and Canada,Biotechnology,
CMPS,COMPASS Pathways plc,11.5590,1559.88,United States and Canada,Biotechnology,
NVAX,Novavax Inc.,9.4550,1554.76,United States and Canada,Biotechnology,596.34
URGN,UroGen Pharma Ltd.,31.6410,1541.60,United States and Canada,Biotechnology,140.49
BONEX,Bonesupport Holding AB (publ),219.8000,1539.24,Europe,Biotechnology,128.34
CAPR,Capricor Therapeutics Inc.,26.1400,1513.82,United States and Canada,Biotechnology,
GLUE,Monte Rosa Therapeutics Inc.,17.8040,1504.07,United States and Canada,Biotechnology,42.95
IDIA,Idorsia Ltd,4.6520,1492.59,Europe,Biotechnology,274.02
VIR,Vir Biotechnology Inc.,8.6450,1458.00,United States and Canada,Biotechnology,65.50
BCAX,Bicara Therapeutics Inc.,22.1090,1452.65,United States and Canada,Biotechnology,
IMCR,Immunocore Holdings plc,28.2390,1436.39,United States and Canada,Biotechnology,412.81
ARDX,Ardelyx Inc.,5.7750,1426.59,United States and Canada,Biotechnology,427.68
MLTX,MoonLake Immunotherapeutics,19.3100,1421.51,United States and Canada,Biotechnology,
SLS,SELLAS Life Sciences Group Inc.,7.5850,1411.06,United States and Canada,Biotechnology,
AVBP,ArriVent BioPharma Inc.,30.2220,1407.59,United States and Canada,Biotechnology,
VITR,Vitrolife AB (publ),95.9000,1380.93,Europe,Biotechnology,359.62
INBX,Inhibrx Biosciences Inc.,93.8650,1377.11,United States and Canada,Biotechnology,1.30
PHM,Pharma Mar S.A.,68.3000,1374.41,Europe,Biotechnology,260.55
SVRA,Savara Inc.,5.2950,1342.81,United States and Canada,Biotechnology,
BIOGB,BioGaia AB (publ),121.7000,1309.09,Europe,Biotechnology,163.12
AKTS,Aktis Oncology Inc.,23.2010,1282.49,United States and Canada,Biotechnology,8.28
IMTX,Immatics N.V.,9.2150,1259.44,United States and Canada,Biotechnology,43.11
DMRA,Damora Therapeutics Inc.,20.2610,1247.13,United States and Canada,Biotechnology,
MPLT,MapLight Therapeutics Inc.,27.1450,1230.91,United States and Canada,Biotechnology,
CDNA,CareDx Inc.,23.4950,1213.74,United States and Canada,Biotechnology,412.82
ALVO,Alvotech,3.8650,1206.47,United States and Canada,Biotechnology,562.04
MNKD,MannKind Corporation,3.8850,1200.27,United States and Canada,Biotechnology,360.78
ZBIO,Zenas BioPharma Inc.,18.3180,1156.48,United States and Canada,Biotechnology,0.00
COAG,Hemab Therapeutics Holdings Inc.,25.3750,1121.40,United States and Canada,Biotechnology,
ABSI,Absci Corporation,7.1850,1120.18,United States and Canada,Biotechnology,1.84
DBV,DBV Technologies S.A.,3.1880,1093.51,Europe,Biotechnology,5.74
PHIL,Philogen S.p.A.,23.0000,1073.92,Europe,Biotechnology,375.62
